time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2020-02-09,8.103333333333333,24.330000000000002,28.496666666666666,50.13666666666666,17.580000000000002,22.156666666666666,55.519999999999996,9.4,7.506666666666667,9.943333333333333,2.956666666666667,8.17,39.49,34.06333333333333,42.24333333333333,80.85333333333332,3.2266666666666666,9.95,6.296666666666667,10.85,10.54,6.6,38.56333333333333,63.46666666666667,4.746666666666667,100.15333333333334,128.33333333333334,71.05333333333333,8.283333333333333,30.933333333333334
2020-02-10,8.08,23.89,28.02,49.73,17.48,22.06,55.3,9.34,7.47,9.91,2.97,8.11,39.49,33.85,41.97,81.41,3.18,9.95,6.21,10.8,10.5,6.59,38.49,63.22,4.71,100.45,128.8,70.99,8.25,31.0
2020-02-11,8.12,23.42,28.02,49.82,17.92,22.31,56.23,9.52,7.39,9.7,2.97,8.15,39.81,33.91,42.63,80.99,3.18,9.95,6.43,10.9,10.6,6.62,38.66,63.0,4.74,100.45,128.3,70.79,8.23,30.5
2020-02-12,8.22,24.36,28.94,49.91,18.15,22.74,56.36,9.61,7.44,9.7,2.97,8.25,40.46,34.14,43.71,79.74,3.37,9.95,6.47,11.4,10.76,6.68,38.75,63.52,4.77,99.56,128.4,70.92,8.62,31.25
2020-02-13,8.67,24.36,28.48,49.82,17.68,22.74,56.49,9.43,7.45,9.77,2.93,8.27,40.54,34.52,43.71,79.95,3.27,9.95,6.49,11.3,10.86,6.67,38.62,63.0,4.82,99.02,128.4,70.52,8.5,31.0
2020-02-14,8.81,23.89,28.54,49.56,17.82,22.86,57.28,9.52,7.32,9.66,2.93,8.35,40.02,33.88,44.04,80.42,3.37,9.95,6.47,11.45,11.1,6.7,38.71,63.0,4.99,97.78,128.4,70.52,8.92,31.3
2020-02-15,8.866666666666667,24.046666666666667,28.556666666666665,49.38666666666667,17.753333333333334,22.86,57.346666666666664,9.636666666666667,7.316666666666666,9.696666666666667,2.9733333333333336,8.379999999999999,39.88333333333333,33.913333333333334,43.9,79.98,3.37,9.95,6.486666666666666,11.466666666666667,11.156666666666666,6.746666666666667,38.723333333333336,63.24666666666667,5.006666666666667,96.29666666666667,128.43333333333334,70.56666666666666,8.936666666666667,31.266666666666666
2020-02-16,8.923333333333334,24.203333333333333,28.573333333333334,49.21333333333333,17.686666666666667,22.86,57.413333333333334,9.753333333333332,7.3133333333333335,9.733333333333333,3.0166666666666666,8.41,39.74666666666667,33.946666666666665,43.76,79.53999999999999,3.37,9.95,6.503333333333333,11.483333333333333,11.213333333333333,6.793333333333333,38.736666666666665,63.49333333333333,5.023333333333333,94.81333333333333,128.46666666666667,70.61333333333333,8.953333333333333,31.233333333333334
2020-02-17,8.98,24.36,28.59,49.04,17.62,22.86,57.48,9.87,7.31,9.77,3.06,8.44,39.61,33.98,43.62,79.1,3.37,9.95,6.52,11.5,11.27,6.84,38.75,63.74,5.04,93.33,128.5,70.66,8.97,31.2
2020-02-18,9.08,24.08,29.39,48.69,17.75,22.99,56.49,9.87,7.34,9.64,3.01,8.41,39.81,34.23,43.54,75.7,3.37,9.95,6.43,11.35,11.42,6.84,38.71,63.08,4.96,92.45,128.4,69.66,9.02,30.5
