time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2020-01-27,8.43125,27.30375,31.525,57.7125,17.01125,23.7325,62.15375,10.68125,7.38375,10.795,3.09,8.63125,43.37375,37.83,47.2975,97.32,3.0237499999999997,9.95,7.06375,10.85625,11.622499999999999,6.828749999999999,40.613749999999996,65.16875,4.92875,102.13,145.75,79.7775,7.8925,32.3625
2020-01-28,8.4175,27.2925,31.46,57.605000000000004,16.9775,23.695,62.0225,10.6475,7.3725,10.77,3.09,8.6075,43.2125,37.71,47.205,97.08,3.0324999999999998,9.95,7.0425,10.8375,11.594999999999999,6.8225,40.4725,65.0125,4.9225,102.13,145.5,79.605,7.875,32.275
2020-01-29,8.40375,27.28125,31.395,57.4975,16.94375,23.657500000000002,61.89125,10.61375,7.36125,10.745000000000001,3.09,8.58375,43.05125,37.589999999999996,47.112500000000004,96.83999999999999,3.04125,9.95,7.02125,10.818750000000001,11.567499999999999,6.81625,40.33125,64.85625,4.91625,102.13,145.25,79.4325,7.8575,32.1875
2020-01-30,8.39,27.27,31.33,57.39,16.91,23.62,61.76,10.58,7.35,10.72,3.09,8.56,42.89,37.47,47.02,96.6,3.05,9.95,7.0,10.8,11.54,6.81,40.19,64.7,4.91,102.13,145.0,79.26,7.84,32.1
2020-01-31,8.22,27.27,30.59,56.17,16.85,23.24,60.37,10.14,7.15,10.47,2.97,8.35,41.84,36.67,46.11,94.18,3.05,9.95,6.76,10.5,11.1,6.81,39.06,65.21,4.8,102.13,139.7,77.14,7.74,31.3
2020-02-01,8.126666666666667,26.643333333333334,30.856666666666666,54.31333333333333,16.836666666666666,22.903333333333332,59.1,9.933333333333334,7.11,10.4,2.9333333333333336,8.253333333333334,41.38,36.166666666666664,44.92333333333333,92.28666666666668,3.05,9.95,6.613333333333333,10.466666666666667,10.973333333333333,6.739999999999999,39.11666666666667,64.57333333333332,4.78,102.10333333333332,134.96666666666667,75.79333333333334,7.78,30.96666666666667
2020-02-02,8.033333333333333,26.016666666666666,31.123333333333335,52.45666666666667,16.823333333333334,22.566666666666666,57.83,9.726666666666667,7.07,10.33,2.8966666666666665,8.156666666666666,40.92,35.663333333333334,43.736666666666665,90.39333333333333,3.05,9.95,6.466666666666667,10.433333333333334,10.846666666666668,6.67,39.17333333333333,63.93666666666666,4.76,102.07666666666667,130.23333333333332,74.44666666666666,7.82,30.633333333333333
2020-02-03,7.94,25.39,31.39,50.6,16.81,22.23,56.56,9.52,7.03,10.26,2.86,8.06,40.46,35.16,42.55,88.5,3.05,9.95,6.32,10.4,10.72,6.6,39.23,63.3,4.74,102.05,125.5,73.1,7.86,30.3
2020-02-04,8.01,25.02,31.22,49.56,17.95,22.19,55.96,9.34,7.09,10.26,2.89,8.35,41.27,35.35,43.04,87.21,3.18,9.95,6.38,10.4,10.62,6.7,39.06,63.74,4.77,102.05,129.8,72.77,7.86,30.15
2020-02-05,8.12,26.05,31.5,49.65,18.55,22.35,55.3,9.61,7.3,10.35,3.18,8.37,40.87,35.1,43.04,84.75,3.46,9.95,6.38,10.45,10.74,6.71,39.32,63.96,4.85,102.05,129.3,71.25,8.25,30.2
